accepted_name	IUCN_category_old	IUCN_category_new	TS_category_old	TS_category_new	IUCN_old	IUCN_new	TS_global_old	TS_global_new
Calamus papyraceus	NE	NE	NE	NE	0	0	0	0
Calamus parutan	NE	NE	NE	NE	0	0	0	0
Calamus parvifructus	NE	NE	NE	NE	0	0	0	0
Calamus parvulus	NE	NE	NE	NE	0	0	0	0
Calamus paspalanthus	NE	NE	NE	NE	0	0	0	0
Calamus paulii	NE	NE	NE	NE	0	0	0	0
Calamus pedicellaris	NE	NE	NE	NE	0	0	0	0
Calamus pedicellatus	NE	NE	NE	NE	0	0	0	0
Calamus penicillatus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus perakensis	NE	NE	NE	NE	0	0	0	0
Calamus peregrinus	NE	NE	NE	NE	0	0	0	0
Calamus periacanthus	NE	NE	NE	NE	0	0	0	0
Calamus pholidostachys	NE	NE	Data Deficient	NE	0	0	1	0
Calamus pilosellus	NE	NE	NE	NE	0	0	0	0
Calamus pilosissimus	NE	NE	NE	NE	0	0	0	0
Calamus pintaudii	NE	NE	NE	NE	0	0	0	0
Calamus plagiocyclus	NE	NE	NE	NE	0	0	0	0
Calamus platyspathus	NE	NE	Data Deficient	NE	0	0	1	0
Calamus plicatus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus poensis	NE	NE	Threatened	NE	0	0	1	0
Calamus pogonacanthus	NE	LC	NE	Not Threatened	0	1	0	1
Calamus pogonotium	NE	NE	NE	NE	0	0	0	0
Calamus poilanei	NE	NE	Threatened	NE	0	0	1	0
Calamus politus	NE	NE	NE	NE	0	0	0	0
Calamus polycladus	NE	NE	NE	NE	0	0	0	0
Calamus polystachys	NE	NE	NE	NE	0	0	0	0
Calamus pseudoconcolor	NE	NE	Threatened	NE	0	0	1	0
Calamus pseudotenuis	NE	NE	NE	NE	0	0	0	0
Calamus pseudozebrinus	NE	NE	NE	NE	0	0	0	0
Calamus psilocladus	NE	NE	NE	NE	0	0	0	0
Calamus pulcher	NE	NE	NE	NE	0	0	0	0
Calamus pumilus	NE	NE	NE	NE	0	0	0	0
