"accepted_name"	"ECO"
"Chamaedorea arenbergiana"	8
"Chamaedorea benziei"	3
"Chamaedorea binderi"	1
"Chamaedorea brachyclada"	3
"Chamaedorea brachypoda"	1
"Chamaedorea cataractarum"	1
"Chamaedorea christinae"	1
"Chamaedorea correae"	4
"Chamaedorea costaricana"	14
"Chamaedorea crucensis"	2
"Chamaedorea dammeriana"	5
"Chamaedorea deckeriana"	6
"Chamaedorea deneversiana"	6
"Chamaedorea elatior"	1
"Chamaedorea elegans"	14
"Chamaedorea falcifera"	1
"Chamaedorea foveata"	2
"Chamaedorea fractiflexa"	1
"Chamaedorea fragrans"	3
"Chamaedorea frondosa"	2
"Chamaedorea geonomiformis"	13
"Chamaedorea glaucifolia"	7
"Chamaedorea graminifolia"	3
"Chamaedorea guntheriana"	2
"Chamaedorea hodelii"	2
"Chamaedorea hooperiana"	1
"Chamaedorea ibarrae"	2
"Chamaedorea incrustata"	1
"Chamaedorea keelerorum"	1
"Chamaedorea klotzschiana"	5
"Chamaedorea liebmannii"	9
"Chamaedorea linearis"	19
"Chamaedorea lucidifrons"	5
"Chamaedorea macrospadix"	5
"Chamaedorea matae"	4
"Chamaedorea metallica"	2
"Chamaedorea microphylla"	2
"Chamaedorea microspadix"	5
"Chamaedorea moliniana"	1
"Chamaedorea neurochlamys"	8
"Chamaedorea nubium"	9
"Chamaedorea oblongata"	19
"Chamaedorea oreophila"	3
"Chamaedorea palmeriana"	4
"Chamaedorea parvifolia"	3
"Chamaedorea parvisecta"	1
"Chamaedorea pauciflora"	13
"Chamaedorea pinnatifrons"	67
"Chamaedorea piscifolia"	1
"Chamaedorea pittieri"	2
"Chamaedorea plumosa"	1
"Chamaedorea pochutlensis"	9
"Chamaedorea ponderosa"	2
"Chamaedorea pumila"	4
"Chamaedorea pygmaea"	5
"Chamaedorea queroana"	1
"Chamaedorea radicalis"	7
"Chamaedorea recurvata"	2
"Chamaedorea ricardoi"	2
"Chamaedorea robertii"	4
"Chamaedorea rojasiana"	8
"Chamaedorea rosibeliae"	1
"Chamaedorea rossteniorum"	4
