accepted_name	lon	lat	coordinateUncertaintyInMeters
Actinokentia divaricata	165.76703	-21.56426	5000
Actinokentia divaricata	166.6925	-22.16722	5000
Actinokentia divaricata	165.99667	-21.7575	5000
Actinokentia divaricata	166.70936	-22.2079	5000
Actinokentia divaricata	167.0153	-22.28144	5000
Actinokentia divaricata	166.05569	-21.63038	5000
Actinokentia divaricata	166.69016	-22.15459	5000
Actinokentia divaricata	166.68173	-22.10595	5000
Actinokentia divaricata	166.37098	-21.72418	5000
Actinokentia divaricata	166.08833	-21.58389	5000
Actinokentia divaricata	166.91933	-22.32476	5000
Actinokentia divaricata	166.67	-22.1	5000
Actinokentia divaricata	167	-22.27	5000
Actinokentia divaricata	165.35	-21.43	5000
Actinokentia divaricata	166	-21.75	5000
Actinokentia divaricata	166.45	-21.87	5000
Actinokentia divaricata	165.75	-21.508333	5000
Actinokentia divaricata	166.53333	-22.18333	5000
Actinokentia divaricata	166.29917	-21.76667	5000
Actinokentia divaricata	166.6666667	-22.1	15000
Actinokentia divaricata	166.45	-21.86	5000
Actinokentia divaricata	167	-22.26	5000
Actinokentia huerlimannii	166.43807	-21.85759	5000
Actinokentia huerlimannii	166.4657	-22.00937	5000
Actinokentia huerlimannii	166.45	-21.87	5000
Actinokentia huerlimannii	166.45	-21.86	5000
Actinorhytis calapparia	147.8	-6.533	5000
Actinorhytis calapparia	145.483	-7.75	5000
Actinorhytis calapparia	147.8	-6.53	1000
Actinorhytis calapparia	145.48	-7.75	1000
Actinorhytis calapparia	141.03	-2.66	1000
Actinorhytis calapparia	141	-5.63	1000
Actinorhytis calapparia	140.5	-2.5	60000
Actinorhytis calapparia	142.95	-5.7	40000
Actinorhytis calapparia	137.01	-4.28	100
Actinorhytis calapparia	142.26	-3.18	20000
Actinorhytis calapparia	146.58	-6.98	10000
Actinorhytis calapparia	144.66	-4.18	1000
Actinorhytis calapparia	134.53	-2.8	10
Actinorhytis calapparia	143.51	-4.18	1000
Actinorhytis calapparia	146.75	-8.7	1000
Actinorhytis calapparia	155.56	-7.33	10000
Adonidia dransfieldii	117.9472222	5.874444444	5000
Adonidia merrillii	101.5	3.08	5000
Adonidia merrillii	120.2333333	11.91666667	1000
Adonidia merrillii	118	9.233333333	1000
Aiphanes acaulis	-76.64183	5.22224	2149.06
Aiphanes acaulis	-76.522778	5.749722	5000
Aiphanes acaulis	-77.232	8.232778	5000
Aiphanes acaulis	-76.54	5.768333	8036
Aiphanes acaulis	-76.533448	5.791905	703
Aiphanes bicornis	-79.006944	0.305833	5000
Aiphanes bicornis	-78.95	0.28333	5000
Aiphanes bicornis	-79.00722	0.30611	5000
Aiphanes buenaventurae	-77.415639	8.588222	5000
Aiphanes chiribogensis	-78.616	1.016	5000
Aiphanes chiribogensis	-78.783	0.233	5000
Aiphanes chiribogensis	-78.783	-0.2	5000
Aiphanes chiribogensis	-78.833	-0.25	5000
Aiphanes chiribogensis	-78.65	1.066	5000
Aiphanes chiribogensis	-78.805	-0.248	5000
Aiphanes chiribogensis	-78.666	-0.05	5000
Aiphanes chiribogensis	-78.85	-0.25	5000
Aiphanes chiribogensis	-78.833	-0.266	5000
Aiphanes chiribogensis	-78.783	-0.25	5000
Aiphanes chiribogensis	-78.789	-0.58	5000
Aiphanes chiribogensis	-78.998	-0.515	5000
Aiphanes chiribogensis	-78.83	-0.27	0.2
Aiphanes chiribogensis	-78.67	1.25	5000
Aiphanes chiribogensis	-78.63333	0.01666	5000
Aiphanes chiribogensis	-78.78944	-0.58027	5000
Aiphanes chiribogensis	-78.99805	-0.51527	5000
Aiphanes chiribogensis	-78.83333	-0.25	5000
Aiphanes chiribogensis	-78.65	1.06666	5000
Aiphanes chiribogensis	-78.805	-0.24861	5000
Aiphanes chiribogensis	-78.78333	-0.25	5000
Aiphanes chiribogensis	-78.61666	1.01666	5000
Aiphanes chiribogensis	-78.78333	0.23333	5000
Aiphanes chiribogensis	-78.78333	-0.2	5000
Aiphanes chiribogensis	-78.83333	-0.26666	5000
Aiphanes chiribogensis	-78.66666	-0.05	5000
Aiphanes chiribogensis	-78.616667	0.041667	5000
Aiphanes concinna	-77.173308	0.745556	5000
Aiphanes concinna	-73.278333	5.125278	5000
Aiphanes concinna	-73.469167	5.802222	5000
Aiphanes concinna	-74.324769	4.609169	5000
Aiphanes concinna	-76.104444	1.616389	5000
Aiphanes concinna	-75.546667	4.8675	5000
Aiphanes concinna	-75.5225	4.873889	5000
Aiphanes concinna	-76.341389	1.8125	5000
Aiphanes concinna	-76.186944	1.656389	5000
Aiphanes concinna	-76.141111	1.665	5000
Aiphanes concinna	-76.349722	1.81	5000
Aiphanes concinna	-75.514146	4.706536	2050
Aiphanes deltoidea	-69.88778	-2.1425	5000
Aiphanes deltoidea	-69.98264	-2.53894	5000
Aiphanes deltoidea	-70.09294	-2.57578	5000
Aiphanes deltoidea	-72.83	-3.47	5000
Aiphanes deltoidea	-72.83333	-3.46666	5000
Aiphanes deltoidea	-69.988989	-4.07465	5000
Aiphanes deltoidea	-73.68	-3.93	6
Aiphanes deltoidea	-73.69	-3.93	6
Aiphanes deltoidea	-74.04	-3.8	9
Aiphanes deltoidea	-74.41	-3.5	6
Aiphanes deltoidea	-74.49	-3.47	7
Aiphanes deltoidea	-74.3	-3.61	6
Aiphanes deltoidea	-74.26	-3.63	12
Aiphanes deltoidea	-74.2	-3.67	11
Aiphanes deltoidea	-74.21	-3.67	11
Aiphanes duquei	-76.58	3.47	5000
Aiphanes duquei	-76.586389	3.570278	5000
Aiphanes eggersii	-79.75	-1.75	5000
Aiphanes eggersii	-80.166	-0.666	5000
Aiphanes eggersii	-80.25	-1.383	5000
Aiphanes eggersii	-80.4	-0.6	5000
Aiphanes eggersii	-80.416	-0.366	5000
Aiphanes eggersii	-80.066	-3.866	5000
Aiphanes eggersii	-80.233	-0.166	5000
Aiphanes eggersii	-80.42	-0.37	5000
Aiphanes eggersii	-80.25	-1.38	5000
Aiphanes eggersii	-80.41666	-0.36666	5000
Aiphanes eggersii	-80.25	-1.38333	5000
Aiphanes eggersii	-80.25	-1.383333	3615
Aiphanes erinacea	-77.866	-0.683	5000
Aiphanes erinacea	-78.884	-0.305	5000
Aiphanes erinacea	-78.543	0.898	5000
Aiphanes erinacea	-79.033	0.083	5000
Aiphanes erinacea	-78.866	0.033	5000
Aiphanes erinacea	-78.866	-0.266	5000
Aiphanes erinacea	-78.566	0.833	5000
Aiphanes erinacea	-78.95	-0.433	5000
Aiphanes erinacea	-79.033	0.116	5000
Aiphanes erinacea	-78.833	-0.25	5000
Aiphanes erinacea	-77.85	-0.666	5000
Aiphanes erinacea	-77.866	-0.7	5000
Aiphanes erinacea	-79.03	0.08	5000
Aiphanes erinacea	-78.87	-0.27	5000
Aiphanes erinacea	-78.13	1.3	5000
Aiphanes erinacea	-77.85	-0.67	5000
Aiphanes erinacea	-77.97	1.17	5000
Aiphanes erinacea	-78.57	0.83	5000
Aiphanes erinacea	-78.62	0.12	5000
Aiphanes erinacea	-77.87	-0.68	5000
Aiphanes erinacea	-78.87	0.03	5000
Aiphanes erinacea	-78.6667	-0.1667	5000
Aiphanes erinacea	-77.5317	0.2003	5000
Aiphanes erinacea	-77.96666	1.13333	5000
Aiphanes erinacea	-78.13333	0.81666	5000
Aiphanes erinacea	-79.03333	0.11666	5000
Aiphanes erinacea	-78.83333	-0.25	5000
Aiphanes erinacea	-77.85	-0.66666	5000
Aiphanes erinacea	-77.86666	-0.7	5000
Aiphanes erinacea	-77.86666	-0.68333	5000
Aiphanes erinacea	-78.54361	0.89888	5000
Aiphanes erinacea	-78.88472	-0.30555	5000
Aiphanes erinacea	-78.86666	-0.26666	5000
Aiphanes erinacea	-78.95	-0.43333	5000
Aiphanes erinacea	-79.11666	0.05	5000
Aiphanes erinacea	-78.01666	1.08333	5000
Aiphanes erinacea	-78.18333	0.86666	5000
Aiphanes erinacea	-78.68333	0.08333	5000
Aiphanes erinacea	-78.86666	0.03333	5000
Aiphanes erinacea	-78.56666	0.83333	5000
Aiphanes erinacea	-79.03333	0.08333	5000
Aiphanes erinacea	-78.61666	0.11666	5000
Aiphanes erinacea	-78.03333	1.06666	5000
Aiphanes erinacea	-78.66666	0.16666	5000
Aiphanes erinacea	-77.96666	1.16666	5000
Aiphanes erinacea	-78.633333	0.116667	5000
Aiphanes erinacea	-78.625	0.125	5000
Aiphanes erinacea	-77.986944	1.160278	5000
Aiphanes erinacea	-78.078056	1.288889	5000
Aiphanes erinacea	-77.985556	1.152222	5000
Aiphanes erinacea	-78.566667	0.833333	3615
Aiphanes erinacea	-77.866667	0.683333	3615
Aiphanes erinacea	-78.866667	0.033333	3615
Aiphanes erinacea	-78.866667	0.266667	3615
Aiphanes erinacea	-77.966667	1.133333	3615
Aiphanes erinacea	-78.084362	1.299103	3463
Aiphanes erinacea	-77.983333	1.15	5000
Aiphanes erinacea	-77.98333	1.15	5000
Aiphanes erinacea	-77.98333	1.316667	5000
Aiphanes gelatinosa	-78.283	0.966	5000
Aiphanes gelatinosa	-78.28	0.97	5000
Aiphanes gelatinosa	-78.078056	1.288889	5000
Aiphanes gelatinosa	-78.283333	0.966667	3615
Aiphanes graminifolia	-73.45	6.17	5000
Aiphanes graminifolia	-73.42588	6.17518	5000
Aiphanes grandis	-79.083	-1.366	5000
Aiphanes grandis	-79.75	-3.566	5000
Aiphanes grandis	-79.74	-3.603	5000
Aiphanes grandis	-79.85	-3.866	5000
Aiphanes grandis	-79.716	-3.65	5000
Aiphanes grandis	-79.72	-3.65	5000
Aiphanes grandis	-78.4611	0.7781	5000
Aiphanes grandis	-79.75	-3.57	5000
Aiphanes grandis	-79.73333	-3.61666	5000
Aiphanes grandis	-79.74055	-3.60333	5000
Aiphanes grandis	-79.08333	-1.36666	5000
Aiphanes grandis	-79.85	-3.86666	5000
Aiphanes grandis	-79.71666	-3.65	5000
Aiphanes grandis	-79.716667	-3.65	3615
Aiphanes grandis	-78.46111111	0.778055556	5000
Aiphanes hirsuta	-78.535	0.892	5000
Aiphanes hirsuta	-78.533	0.833	5000
Aiphanes hirsuta	-78.566	0.833	5000
Aiphanes hirsuta	-78.45	0.083	5000
Aiphanes hirsuta	-78.461	0.778	5000
Aiphanes hirsuta	-76.28915	4.85923	4303.92
Aiphanes hirsuta	-77.45	8.65	5000
Aiphanes hirsuta	-81.08	8.67	5000
Aiphanes hirsuta	-75.02	6.02	5000
Aiphanes hirsuta	-76.30056	6.54042	5000
Aiphanes hirsuta	-80.1	8.62	5000
Aiphanes hirsuta	-79.27	9.3	5000
Aiphanes hirsuta	-80.65	8.63	5000
Aiphanes hirsuta	-75.105251	6.87901	1405
Aiphanes hirsuta	-75.48558	7.228312	30
Aiphanes hirsuta	-74.799167	6.188611	6021
Aiphanes hirsuta	-83.189722	8.817222	5000
Aiphanes hirsuta	-76.299722	6.539722	5000
Aiphanes hirsuta	-76.31666	6.51666	5000
Aiphanes hirsuta	-76.316667	6.516667	5000
Aiphanes hirsuta	-77.741667	7.725	5000
Aiphanes hirsuta	-76.48333	4.76666	5000
Aiphanes hirsuta	-76.31666	6.56666	5000
Aiphanes hirsuta	-79.91972	8.68638	5000
Aiphanes hirsuta	-79.375	9.23388	5000
Aiphanes hirsuta	-79.37638	9.225	5000
Aiphanes hirsuta	-80.111667	8.635	5000
Aiphanes hirsuta	-80.115	8.625	5000
Aiphanes hirsuta	-77.7	7.95	5000
Aiphanes hirsuta	-78.45	0.08333	5000
Aiphanes hirsuta	-78.535	0.8925	5000
Aiphanes hirsuta	-78.41666	0.88333	5000
Aiphanes hirsuta	-78.16666	1.5	5000
Aiphanes hirsuta	-75.91666	7.25	5000
Aiphanes hirsuta	-76.31666	6.53333	5000
Aiphanes hirsuta	-82.1975	8.771945	5000
Aiphanes hirsuta	-76.48868	7.227753	5000
Aiphanes hirsuta	-76.5	6.66666	5000
Aiphanes hirsuta	-78.53333	0.83333	5000
Aiphanes hirsuta	-78.56666	0.83333	5000
Aiphanes hirsuta	-80.126667	8.623333	5000
Aiphanes hirsuta	-80.595	8.673333	5000
Aiphanes hirsuta	-77.233333	8.075	5000
Aiphanes hirsuta	-79.26666	9.3	5000
Aiphanes hirsuta	-83.18	8.81	5000
Aiphanes hirsuta	-76.0463	5.41605	5000
Aiphanes hirsuta	-76.2917	6.69278	5000
Aiphanes hirsuta	-76.2804	6.7818	5000
Aiphanes hirsuta	-76.0189	5.40972	5000
Aiphanes hirsuta	-76.0463	5.41703	5000
Aiphanes hirsuta	-75.1346	6.28419	5000
Aiphanes hirsuta	-76.2524	6.80207	5000
Aiphanes hirsuta	-75.0698	6.4782	5000
Aiphanes hirsuta	-76.241	6.58027	5000
Aiphanes hirsuta	-73.42614	6.17516	5000
Aiphanes hirsuta	-76.433333	6.35	5000
Aiphanes hirsuta	-76.5	6.666667	5000
Aiphanes hirsuta	-78.180833	1.366389	5000
Aiphanes hirsuta	-75.043333	6.195278	5000
Aiphanes hirsuta	-75.111944	6.888889	5000
Aiphanes hirsuta	-75.103056	6.873056	5000
Aiphanes hirsuta	-77.232	8.232778	5000
Aiphanes hirsuta	-76.196389	4.835833	1716
Aiphanes hirsuta	-76.206389	4.836111	3397
Aiphanes hirsuta	-76.230278	4.897222	254
Aiphanes hirsuta	-76.280403	6.781795	380
Aiphanes hirsuta	-75.142222	6.295	3026
