"taxa"	"EOO"	"AOO"	"Nbe_unique_occ."	"Nbe_subPop"	"Nbe_loc"	"EOO2"	"NOP"	"MER"	"EOOkm2"	"AOO2km"	"EOOcat"	"AOOcat"	"EOO_rCAT_conR2"
"Brahea brandegeei"	101017	112	40	16	21	101017	"40"	"214706.05831273"	"100637.618947382"	"132"	"LC"	"EN"	"100637.618947382"
"Brahea calcarea"	773074	288	95	29	44	773074	"95"	"3062147.07735964"	"700902.674394866"	"288"	"LC"	"EN"	"700902.674394866"
"Brahea decumbens"	26583	88	32	9	13	26583	"32"	"56317.4996397794"	"26381.4561705659"	"88"	"NT"	"EN"	"26381.4561705659"
"Brahea edulis"	1311	12	3	2	2	1311	"3"	"50654.7258631997"	"1305.17327490065"	"12"	"EN"	"EN"	"1305.17327490065"
"Brahea moorei"	29863	164	50	16	27	29863	"50"	"48911.6774551746"	"29933.0675720626"	"164"	"NT"	"EN"	"29933.0675720626"
"Brahea pimo"	202949	132	48	22	26	202949	"48"	"707605.570879576"	"194529.751941436"	"136"	"LC"	"EN"	"194529.751941436"
"Brahea sarukhanii"	5347	28	18	5	5	5347	"18"	"16142.5577435813"	"5338.97688283771"	"40"	"VU"	"EN"	"5338.97688283771"
"Brassiophoenix drymophloeoides"	32499	40	17	8	9	32499	"17"	"220982.334598174"	"32225.7175918"	"52"	"LC"	"EN"	"32225.7175918"
"Brassiophoenix schumannii"	130771	64	18	13	13	130771	"18"	"700421.662559937"	"128471.532375718"	"68"	"LC"	"EN"	"128471.532375718"
"Burretiokentia dumasii"	NA	4	2	1	1	NA	"2"	"0.0127688023703353"	"0"	"8"	"CR"	"CR"	NA
"Burretiokentia grandiflora"	8	8	3	1	1	1	"3"	"14.8907917723326"	"0.554453445716143"	"8"	"CR"	"CR"	"0.554453445716143"
"Burretiokentia hapala"	128	20	7	2	2	128	"7"	"301.627071505919"	"127.98482872238"	"20"	"EN"	"EN"	"127.98482872238"
"Burretiokentia koghiensis"	8	8	4	1	1	1	"4"	"2.15007614271644"	"0.77612257986635"	"12"	"CR"	"EN"	"0.77612257986635"
"Burretiokentia vieillardii"	7167	148	48	14	23	7167	"48"	"41586.9808417646"	"7140.78060213913"	"152"	"VU"	"EN"	"7140.78060213913"
"Butia archeri"	492676	92	25	16	19	492676	"25"	"880186.885251079"	"491486.973933789"	"100"	"LC"	"EN"	"491486.973933789"
"Butia campicola"	1056	20	7	4	4	1056	"7"	"7330.52529927375"	"1045.98013780856"	"20"	"EN"	"EN"	"1045.98013780856"
"Butia capitata"	1046267	144	36	33	33	1046267	"36"	"2099617.01289702"	"1042666.63829444"	"144"	"LC"	"EN"	"1042666.63829444"
"Butia catarinensis"	33289	52	13	11	12	33289	"13"	"82965.5157067394"	"33429.7038370802"	"52"	"LC"	"EN"	"33429.7038370802"
"Butia eriospatha"	248127	88	24	21	21	248127	"24"	"693995.969872215"	"249354.128298886"	"92"	"LC"	"EN"	"249354.128298886"
"Butia exospadix"	17091	24	6	6	6	17091	"6"	"28050.499959413"	"17114.7316719002"	"24"	"VU"	"EN"	"17114.7316719002"
"Butia lallemantii"	2335	16	4	3	3	2335	"4"	"4539.09280164032"	"2231.75087948441"	"16"	"EN"	"EN"	"2231.75087948441"
"Butia leptospatha"	NA	8	2	2	2	52	"2"	"7.13325485816243"	"0"	"8"	"CR"	"CR"	"52"
"Butia marmorii"	1006	20	6	3	3	1006	"6"	"2037.30286133249"	"1004.43103727819"	"24"	"EN"	"EN"	"1004.43103727819"
"Butia matogrossensis"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Butia microspadix"	1109727	60	18	11	11	1109727	"18"	"2211775.16626676"	"1121284.6566597"	"64"	"LC"	"EN"	"1121284.6566597"
"Butia odorata"	773635	52	13	13	13	773635	"13"	"1766646.50961335"	"821282.812552197"	"52"	"LC"	"EN"	"821282.812552197"
"Butia paraguayensis"	1262098	372	131	61	71	1262098	"131"	"2197859.85631319"	"1257729.66776432"	"372"	"LC"	"EN"	"1257729.66776432"
"Butia purpurascens"	5497	36	10	4	6	5497	"10"	"25952.5199422511"	"5556.40265608405"	"36"	"VU"	"EN"	"5556.40265608405"
"Butia witeckii"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Butia yatay"	578728	64	17	12	13	578728	"17"	"1963465.26176007"	"587317.788242604"	"64"	"LC"	"EN"	"587317.788242604"
"Calamus acamptostachys"	28734	60	17	9	11	28734	"17"	"86568.1376765444"	"28753.8465334343"	"68"	"NT"	"EN"	"28753.8465334343"
"Calamus acanthochlamys"	11605	40	12	7	8	11605	"12"	"29881.3294596535"	"11602.8283869813"	"40"	"VU"	"EN"	"11602.8283869813"
