Tree_name	Acc_name	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	FruitColorDescription	MainFruitColors	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Geonoma fosteri	Geonoma fosteri	non-LC	non-LC	1	0	0	0	0	1	NA	0	0	1.5	0.7	understorey	NA	NA	0.205	0.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma frontinensis	Geonoma frontinensis	LC	LC	1	0	0	0	0	1	2	0	0	0.3	NA	understorey	8	NA	0.65	1.1	0.67	0.6	0.84	0.51	0.48	0.53	small	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0
Geonoma galeanoae	Geonoma galeanoae	non-LC	non-LC	1	0	0	0	0	1	1	0	0	2	1.7	understorey	12	NA	0.65	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma gentryi	Geonoma gentryi	non-LC	non-LC	1	0	0	0	0	1	NA	0	0	1	0.8	understorey	NA	NA	0.26	0.12	0.86	NA	NA	0.57	NA	NA	small	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0
Geonoma hollinensis	Geonoma hollinensis	non-LC	non-LC	1	0	0	0	0	1	0	0	0	2.2	0.8	understorey	7	0.267	0.27	NA	0.68	NA	NA	0.5	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma hugonis	Geonoma hugonis	non-LC	LC	1	0	0	0	0	1	2	0	0	1.2	0.8	understorey	12	0.32	0.2	0.14	0.62	0.54	0.69	0.54	0.47	0.63	small	globose	green?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma interrupta	Geonoma interrupta	LC	LC	1	0	0	0	0	1	2	0	0	8	12	canopy	24	3.1	2	1.15	0.58	0.3	0.75	0.4575	0.36	0.63	small	ovoid	black	black	cryptic	1	0	0	0	1	0	1	0	0	0
Geonoma lanata	Geonoma lanata	non-LC	NA	1	0	0	0	0	1	2	0	0	2	1	understorey	11	0.187	0.19	NA	0.78	0.7	0.95	0.606363636	0.54	0.68	small	ovoid	black	black	cryptic	0	0	0	0	0	0	0	0	0	0
Geonoma laxiflora	Geonoma laxiflora	LC	LC	1	0	0	0	0	1	0	0	0	5	1.3	understorey	10	0.495	0.36	0.16	0.78	0.58	1	0.62	0.5	0.74	small	globose	black	black	cryptic	0	0	0	0	0	0	1	0	0	1
Geonoma lehmannii	Geonoma lehmannii	non-LC	NA	1	0	0	0	0	1	2	0	0	4	1.7	understorey	15	NA	0.515	0.72	0.875	0.68	1.07	0.63	0.52	0.76	small	NA	black	black	cryptic	0	0	0	0	0	0	0	0	0	0
Geonoma leptospadix	Geonoma leptospadix	LC	LC	1	0	0	0	0	1	2	0	0	2	1	understorey	17	0.71	0.43	0.31	0.8	0.7	0.94	0.716190476	0.6	0.78	small	globose	purple-black	purple; black	cryptic	0	0	0	0	0	0	1	0	0	0
Geonoma longepedunculata	Geonoma longepedunculata	LC	LC	1	0	0	0	0	1	1	0	0	1	4	understorey	13	1.425	0.65	0.83	0.6	0.59	0.61	0.46	0.4	0.52	small	pyramidal	black	black	cryptic	0	0	0	0	0	0	1	0	0	0
Geonoma longivaginata	Geonoma longivaginata	non-LC	LC	1	0	0	0	0	1	2	0	0	5	2.1	understorey	10	1.59	1.01	0.1	0.65	0.51	0.79	0.53	0.43	0.63	small	globose	black against pink rachis	black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma macrostachys	Geonoma macrostachys	LC	LC	1	0	0	0	1	0	1	0	0	1	5	understorey	12	3.205	1.93	0.12	0.821714286	0.6	1.37	0.725	0.47	0.98	small	ovoid	black	black	cryptic	1	0	0	0	1	0	1	1	0	1
