"Species"	"Status_BS"	"Status_WS"	"Status_BSWS"
"Eremospatha quinquecostulata"	"LC"	"LC"	"LC___LC"
"Eremospatha tessmanniana"	"LC"	"LC"	"LC___LC"
"Eremospatha wendlandiana"	"LC"	"LC"	"LC___LC"
"Eugeissona ambigua"	"NA"	"NA"	"NA___NA"
"Eugeissona brachystachys"	"NA"	"NA"	"NA___NA"
"Eugeissona insignis"	"NA"	"NA"	"NA___NA"
"Eugeissona minor"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Eugeissona tristis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Eugeissona utilis"	"NA"	"NA"	"NA___NA"
"Euterpe broadwayi"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Euterpe catinga"	"LC"	"LC"	"LC___LC"
"Euterpe edulis"	"LC"	"LC"	"LC___LC"
"Euterpe longibracteata"	"LC"	"LC"	"LC___LC"
"Euterpe luminosa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Euterpe oleracea"	"NA"	"NA"	"NA___NA"
"Euterpe precatoria"	"LC"	"LC"	"LC___LC"
"Gaussia attenuata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Gaussia gomez-pompae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Gaussia maya"	"LC"	"nonLC"	"LC___nonLC"
"Gaussia princeps"	"NA"	"NA"	"NA___NA"
"Gaussia spirituana"	"NA"	"NA"	"NA___NA"
"Geonoma aspidiifolia"	"LC"	"LC"	"LC___LC"
"Geonoma baculifera"	"LC"	"LC"	"LC___LC"
"Geonoma bernalii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma braunii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma brenesii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma brongniartii"	"LC"	"LC"	"LC___LC"
"Geonoma calyptrogynoidea"	"LC"	"LC"	"LC___LC"
"Geonoma camana"	"LC"	"LC"	"LC___LC"
"Geonoma chlamydostachys"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma chococola"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma concinna"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma concinnoidea"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma congesta"	"LC"	"LC"	"LC___LC"
"Geonoma cuneata"	"LC"	"LC"	"LC___LC"
"Geonoma deneversii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma deversa"	"LC"	"LC"	"LC___LC"
"Geonoma dindoensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma divisa"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma elegans"	"LC"	"LC"	"LC___LC"
"Geonoma epetiolata"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma euspatha"	"LC"	"LC"	"LC___LC"
"Geonoma ferruginea"	"LC"	"LC"	"LC___LC"
"Geonoma fosteri"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma frontinensis"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma galeanoae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma gentryi"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma hollinensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma hugonis"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma interrupta"	"LC"	"LC"	"LC___LC"
"Geonoma lanata"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma laxiflora"	"LC"	"LC"	"LC___LC"
"Geonoma lehmannii"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma leptospadix"	"LC"	"LC"	"LC___LC"
"Geonoma longepedunculata"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma longivaginata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma macrostachys"	"LC"	"LC"	"LC___LC"
"Geonoma maxima"	"LC"	"LC"	"LC___LC"
"Geonoma monospatha"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma mooreana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma multisecta"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma occidentalis"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma oldemanii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma oligoclona"	"LC"	"LC"	"LC___LC"
"Geonoma operculata"	"NA"	"NA"	"NA___NA"
"Geonoma orbignyana"	"LC"	"LC"	"LC___LC"
"Geonoma paradoxa"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma pauciflora"	"LC"	"LC"	"LC___LC"
"Geonoma peruviana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma pinnatifrons"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma poeppigiana"	"LC"	"LC"	"LC___LC"
"Geonoma pohliana"	"LC"	"LC"	"LC___LC"
"Geonoma poiteauana"	"LC"	"LC"	"LC___LC"
"Geonoma sanmartinensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma santanderensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma schizocarpa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma schottiana"	"LC"	"LC"	"LC___LC"
"Geonoma scoparia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma simplicifrons"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma spinescens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma stricta"	"LC"	"LC"	"LC___LC"
"Geonoma talamancana"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma tenuissima"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma triandra"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma triglochin"	"LC"	"LC"	"LC___LC"
"Geonoma trigona"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma umbraculiformis"	"LC"	"nonLC"	"LC___nonLC"
"Geonoma undata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Geonoma venosa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Guihaia argyrata"	"LC"	"nonLC"	"LC___nonLC"
"Guihaia grossifibrosa"	"LC"	"nonLC"	"LC___nonLC"
"Guihaia lancifolia"	"NA"	"NA"	"NA___NA"
"Hedyscepe canterburyana"	"NA"	"NA"	"NA___NA"
"Hemithrinax compacta"	"NA"	"NA"	"NA___NA"
"Hemithrinax ekmaniana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hemithrinax rivularis"	"NA"	"NA"	"NA___NA"
"Heterospathe annectens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe arfakiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe barfodii"	"NA"	"NA"	"NA___NA"
"Heterospathe brevicaulis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe cagayanensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe califrons"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe clemensiae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe compsoclada"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe delicatula"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe dransfieldii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe elata"	"LC"	"LC"	"LC___LC"
"Heterospathe elegans"	"LC"	"LC"	"LC___LC"
"Heterospathe elmeri"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe glabra"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe glauca"	"NA"	"NA"	"NA___NA"
"Heterospathe intermedia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe kajewskii"	"NA"	"NA"	"NA___NA"
"Heterospathe ledermanniana"	"NA"	"NA"	"NA___NA"
"Heterospathe lepidota"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe longipes"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe macgregorii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe minor"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe muelleriana"	"LC"	"nonLC"	"LC___nonLC"
"Heterospathe negrosensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe obriensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe parviflora"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe philippinensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe phillipsii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe pilosa"	"NA"	"NA"	"NA___NA"
"Heterospathe porcata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe pulchra"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe pullenii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe ramulosa"	"NA"	"NA"	"NA___NA"
"Heterospathe salomonensis"	"NA"	"NA"	"NA___NA"
"Heterospathe scitula"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe sensisi"	"NA"	"NA"	"NA___NA"
"Heterospathe sibuyanensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe sphaerocarpa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe trispatha"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Heterospathe uniformis"	"NA"	"NA"	"NA___NA"
"Heterospathe woodfordiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Howea belmoreana"	"NA"	"NA"	"NA___NA"
"Howea forsteriana"	"NA"	"NA"	"NA___NA"
"Hydriastele affinis"	"NA"	"NA"	"NA___NA"
"Hydriastele aprica"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele beccariana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele beguinii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele biakensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele boumae"	"LC"	"LC"	"LC___LC"
"Hydriastele brassii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele cariosa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele carrii"	"NA"	"NA"	"NA___NA"
"Hydriastele chaunostachys"	"LC"	"nonLC"	"LC___nonLC"
"Hydriastele costata"	"LC"	"LC"	"LC___LC"
"Hydriastele cyclopensis"	"NA"	"NA"	"NA___NA"
"Hydriastele cylindrocarpa"	"NA"	"NA"	"NA___NA"
"Hydriastele dransfieldii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele flabellata"	"LC"	"nonLC"	"LC___nonLC"
"Hydriastele geelvinkiana"	"NA"	"NA"	"NA___NA"
"Hydriastele gibbsiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele gracilis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele hombronii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele kasesa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele kjellbergii"	"NA"	"NA"	"NA___NA"
"Hydriastele ledermanniana"	"LC"	"nonLC"	"LC___nonLC"
"Hydriastele lepidota"	"NA"	"NA"	"NA___NA"
"Hydriastele longispatha"	"LC"	"nonLC"	"LC___nonLC"
"Hydriastele lurida"	"LC"	"nonLC"	"LC___nonLC"
"Hydriastele macrospadix"	"NA"	"NA"	"NA___NA"
"Hydriastele manusii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele mayrii"	"NA"	"NA"	"NA___NA"
"Hydriastele micrantha"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele microcarpa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele microspadix"	"NA"	"NA"	"NA___NA"
"Hydriastele moluccana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele montana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele nannostachys"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele oxypetala"	"NA"	"NA"	"NA___NA"
"Hydriastele palauensis"	"NA"	"NA"	"NA___NA"
"Hydriastele pinangoides"	"LC"	"LC"	"LC___LC"
"Hydriastele pleurocarpa"	"NA"	"NA"	"NA___NA"
"Hydriastele procera"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele ramsayi"	"LC"	"nonLC"	"LC___nonLC"
"Hydriastele rheophytica"	"NA"	"NA"	"NA___NA"
"Hydriastele rhopalocarpa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele rostrata"	"NA"	"NA"	"NA___NA"
"Hydriastele sarasinorum"	"NA"	"NA"	"NA___NA"
"Hydriastele selebica"	"NA"	"NA"	"NA___NA"
"Hydriastele valida"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele variabilis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele vitiensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hydriastele wendlandiana"	"LC"	"LC"	"LC___LC"
"Hyophorbe indica"	"NA"	"NA"	"NA___NA"
"Hyophorbe lagenicaulis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hyophorbe vaughanii"	"NA"	"NA"	"NA___NA"
"Hyophorbe verschaffeltii"	"NA"	"NA"	"NA___NA"
"Hyospathe elegans"	"LC"	"LC"	"LC___LC"
"Hyospathe frontinensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hyospathe macrorhachis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hyospathe peruviana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hyospathe pittieri"	"NA"	"NA"	"NA___NA"
"Hyospathe wendlandiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Hyphaene compressa"	"LC"	"LC"	"LC___LC"
"Hyphaene coriacea"	"LC"	"LC"	"LC___LC"
"Hyphaene dichotoma"	"NA"	"NA"	"NA___NA"
"Hyphaene guineensis"	"LC"	"LC"	"LC___LC"
"Hyphaene macrosperma"	"NA"	"NA"	"NA___NA"
"Hyphaene petersiana"	"LC"	"LC"	"LC___LC"
"Hyphaene reptans"	"LC"	"nonLC"	"LC___nonLC"
"Hyphaene thebaica"	"LC"	"LC"	"LC___LC"
"Iguanura ambigua"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Iguanura asli"	"NA"	"NA"	"NA___NA"
"Iguanura belumensis"	"NA"	"NA"	"NA___NA"
"Iguanura bicornis"	"LC"	"nonLC"	"LC___nonLC"
"Iguanura borneensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Iguanura cemurung"	"NA"	"NA"	"NA___NA"
"Iguanura chaiana"	"NA"	"NA"	"NA___NA"
"Iguanura corniculata"	"NA"	"NA"	"NA___NA"
"Iguanura curvata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Iguanura diffusa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Iguanura divergens"	"NA"	"NA"	"NA___NA"
"Iguanura elegans"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Iguanura geonomiformis"	"NA"	"NA"	"NA___NA"
"Iguanura humilis"	"NA"	"NA"	"NA___NA"
"Iguanura kelantanensis"	"NA"	"NA"	"NA___NA"
"Iguanura leucocarpa"	"NA"	"NA"	"NA___NA"
"Iguanura macrostachya"	"LC"	"nonLC"	"LC___nonLC"
"Iguanura melinauensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Iguanura minor"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Iguanura mirabilis"	"NA"	"NA"	"NA___NA"
"Iguanura myochodoides"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Iguanura palmuncula"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Iguanura parvula"	"NA"	"NA"	"NA___NA"
"Iguanura perdana"	"NA"	"NA"	"NA___NA"
"Iguanura piahensis"	"NA"	"NA"	"NA___NA"
"Iguanura polymorpha"	"LC"	"nonLC"	"LC___nonLC"
"Iguanura prolifera"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Iguanura remotiflora"	"NA"	"NA"	"NA___NA"
"Iguanura sanderiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Iguanura speciosa"	"NA"	"NA"	"NA___NA"
"Iguanura tenuis"	"NA"	"NA"	"NA___NA"
"Iguanura thalangensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Iguanura wallichiana"	"LC"	"LC"	"LC___LC"
"Iriartea deltoidea"	"LC"	"LC"	"LC___LC"
"Iriartella setigera"	"LC"	"LC"	"LC___LC"
"Iriartella stenocarpa"	"LC"	"LC"	"LC___LC"
"Itaya amicorum"	"LC"	"LC"	"LC___LC"
"Jailoloa halmaherensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Johannesteijsmannia altifrons"	"LC"	"LC"	"LC___LC"
"Johannesteijsmannia lanceolata"	"NA"	"NA"	"NA___NA"
"Johannesteijsmannia magnifica"	"NA"	"NA"	"NA___NA"
"Johannesteijsmannia perakensis"	"NA"	"NA"	"NA___NA"
"Juania australis"	"NA"	"NA"	"NA___NA"
"Jubaea chilensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Jubaeopsis caffra"	"LC"	"nonLC"	"LC___nonLC"
"Kentiopsis magnifica"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Kentiopsis oliviformis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Kentiopsis piersoniorum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Kentiopsis pyriformis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Kerriodoxa elegans"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Korthalsia angustifolia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Korthalsia bejaudii"	"NA"	"NA"	"NA___NA"
"Korthalsia brassii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Korthalsia celebica"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Korthalsia cheb"	"LC"	"nonLC"	"LC___nonLC"
"Korthalsia concolor"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Korthalsia debilis"	"LC"	"nonLC"	"LC___nonLC"
"Korthalsia echinometra"	"LC"	"LC"	"LC___LC"
"Korthalsia ferox"	"LC"	"nonLC"	"LC___nonLC"
"Korthalsia flagellaris"	"LC"	"nonLC"	"LC___nonLC"
"Korthalsia furcata"	"NA"	"NA"	"NA___NA"
"Korthalsia furtadoana"	"LC"	"nonLC"	"LC___nonLC"
"Korthalsia hispida"	"LC"	"nonLC"	"LC___nonLC"
"Korthalsia jala"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Korthalsia junghuhnii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Korthalsia laciniosa"	"LC"	"LC"	"LC___LC"
"Korthalsia lanceolata"	"NA"	"NA"	"NA___NA"
"Korthalsia merrillii"	"NA"	"NA"	"NA___NA"
"Korthalsia minor"	"LC"	"nonLC"	"LC___nonLC"
"Korthalsia paucijuga"	"NA"	"NA"	"NA___NA"
"Korthalsia rigida"	"LC"	"LC"	"LC___LC"
"Korthalsia robusta"	"LC"	"LC"	"LC___LC"
"Korthalsia rogersii"	"NA"	"NA"	"NA___NA"
"Korthalsia rostrata"	"LC"	"LC"	"LC___LC"
"Korthalsia scaphigeroides"	"NA"	"NA"	"NA___NA"
"Korthalsia scortechinii"	"NA"	"NA"	"NA___NA"
"Korthalsia tenuissima"	"NA"	"NA"	"NA___NA"
"Korthalsia zippelii"	"LC"	"LC"	"LC___LC"
"Laccospadix australasicus"	"LC"	"nonLC"	"LC___nonLC"
"Laccosperma acutiflorum"	"LC"	"LC"	"LC___LC"
"Laccosperma cristalensis"	"NA"	"NA"	"NA___NA"
"Laccosperma korupense"	"NA"	"NA"	"NA___NA"
"Laccosperma laeve"	"LC"	"LC"	"LC___LC"
"Laccosperma opacum"	"LC"	"LC"	"LC___LC"
"Laccosperma robustum"	"LC"	"LC"	"LC___LC"
"Laccosperma secundiflorum"	"LC"	"LC"	"LC___LC"
"Lanonia acaulis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Lanonia calciphila"	"LC"	"nonLC"	"LC___nonLC"
"Lanonia centralis"	"LC"	"nonLC"	"LC___nonLC"
"Lanonia dasyantha"	"LC"	"nonLC"	"LC___nonLC"
"Lanonia gracilis"	"NA"	"NA"	"NA___NA"
"Lanonia hainanensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Lanonia hexasepala"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Lanonia magalonii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Latania loddigesii"	"NA"	"NA"	"NA___NA"
"Latania lontaroides"	"NA"	"NA"	"NA___NA"
"Latania verschaffeltii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Lemurophoenix halleuxii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Leopoldinia piassaba"	"LC"	"nonLC"	"LC___nonLC"
"Leopoldinia pulchra"	"LC"	"LC"	"LC___LC"
"Lepidocaryum tenue"	"LC"	"LC"	"LC___LC"
"Lepidorrhachis mooreana"	"NA"	"NA"	"NA___NA"
"Leucothrinax morrisii"	"LC"	"LC"	"LC___LC"
"Licuala acuminata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala acutifida"	"NA"	"NA"	"NA___NA"
"Licuala adscendens"	"NA"	"NA"	"NA___NA"
"Licuala ahlidurii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala angustiloba"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala anomala"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala aruensis"	"NA"	"NA"	"NA___NA"
"Licuala atrovirens"	"LC"	"nonLC"	"LC___nonLC"
"Licuala atroviridis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala averyanovii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala bachmaensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala bacularia"	"LC"	"nonLC"	"LC___nonLC"
"Licuala bayana"	"NA"	"NA"	"NA___NA"
"Licuala beccariana"	"LC"	"nonLC"	"LC___nonLC"
"Licuala bellatula"	"LC"	"nonLC"	"LC___nonLC"
"Licuala bidentata"	"LC"	"LC"	"LC___LC"
"Licuala bidoupensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala bifida"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala bintulensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala bissula"	"NA"	"NA"	"NA___NA"
"Licuala borneensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala bracteata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala brevicalyx"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala bruneiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala burretii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala cabalionii"	"NA"	"NA"	"NA___NA"
"Licuala cameronensis"	"NA"	"NA"	"NA___NA"
"Licuala campestris"	"LC"	"LC"	"LC___LC"
"Licuala cattienensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala celebica"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala chaiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala collina"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala concinna"	"LC"	"nonLC"	"LC___nonLC"
"Licuala cordata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala corneri"	"NA"	"NA"	"NA___NA"
"Licuala crassiflora"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala dakrongensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala debilis"	"NA"	"NA"	"NA___NA"
"Licuala densiflora"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala distans"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala egregia"	"NA"	"NA"	"NA___NA"
"Licuala elegans"	"NA"	"NA"	"NA___NA"
"Licuala ellipsoidalis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala elliptica"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala exigua"	"NA"	"NA"	"NA___NA"
"Licuala ferruginea"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala ferruginoides"	"NA"	"NA"	"NA___NA"
"Licuala flammula"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala flavida"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala flexuosa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala fordiana"	"LC"	"LC"	"LC___LC"
"Licuala fractiflexa"	"NA"	"NA"	"NA___NA"
"Licuala gjellerupii"	"NA"	"NA"	"NA___NA"
"Licuala glaberrima"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala glabra"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala graminifolia"	"NA"	"NA"	"NA___NA"
"Licuala grandiflora"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala grandis"	"LC"	"nonLC"	"LC___nonLC"
"Licuala hallieriana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala insignis"	"LC"	"nonLC"	"LC___nonLC"
"Licuala intermedia"	"LC"	"LC"	"LC___LC"
"Licuala kamarudinii"	"NA"	"NA"	"NA___NA"
"Licuala kemamanensis"	"NA"	"NA"	"NA___NA"
"Licuala khoonmengii"	"NA"	"NA"	"NA___NA"
"Licuala kiahii"	"NA"	"NA"	"NA___NA"
"Licuala kingiana"	"NA"	"NA"	"NA___NA"
"Licuala klossii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala kuchingensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala kunstleri"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala lambii"	"NA"	"NA"	"NA___NA"
"Licuala lanata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala lanuginosa"	"NA"	"NA"	"NA___NA"
"Licuala lauterbachii"	"LC"	"LC"	"LC___LC"
"Licuala leopoldii"	"NA"	"NA"	"NA___NA"
"Licuala leprosa"	"NA"	"NA"	"NA___NA"
"Licuala leptocalyx"	"NA"	"NA"	"NA___NA"
"Licuala leucocarpa"	"NA"	"NA"	"NA___NA"
"Licuala linearis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala longicalycata"	"NA"	"NA"	"NA___NA"
"Licuala longiflora"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala longipes"	"LC"	"nonLC"	"LC___nonLC"
"Licuala longispadix"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala macrantha"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala maculata"	"NA"	"NA"	"NA___NA"
"Licuala magna"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala malajana"	"LC"	"LC"	"LC___LC"
"Licuala manglaensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala mattanensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala meijeri"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala merguensis"	"LC"	"nonLC"	"LC___nonLC"
"Licuala micholitzii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala micrantha"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala mirabilis"	"NA"	"NA"	"NA___NA"
"Licuala miriensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala modesta"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Licuala montana"	"LC"	"nonLC"	"LC___nonLC"
