"Species"	"Status_BS"	"Status_WS"	"Status_BSWS"
"Calamus unijugus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus urdanetanus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus ursinus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus uschdraweitianus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus usitatus"	"LC"	"LC"	"LC___LC"
"Calamus validus"	"NA"	"NA"	"NA___NA"
"Calamus vattayila"	"NA"	"NA"	"NA___NA"
"Calamus verticillaris"	"LC"	"nonLC"	"LC___nonLC"
"Calamus vestitus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus vidalianus"	"NA"	"NA"	"NA___NA"
"Calamus viminalis"	"LC"	"LC"	"LC___LC"
"Calamus vinosus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus viridissimus"	"NA"	"NA"	"NA___NA"
"Calamus vitiensis"	"LC"	"LC"	"LC___LC"
"Calamus walkeri"	"LC"	"LC"	"LC___LC"
"Calamus wanggaii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus warburgii"	"LC"	"LC"	"LC___LC"
"Calamus whitmorei"	"NA"	"NA"	"NA___NA"
"Calamus wightii"	"NA"	"NA"	"NA___NA"
"Calamus womersleyi"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus wrightmyoensis"	"NA"	"NA"	"NA___NA"
"Calamus wuliangshanensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus yentuensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus zebrinus"	"LC"	"LC"	"LC___LC"
"Calamus zeylanicus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus zieckii"	"LC"	"nonLC"	"LC___nonLC"
"Calamus zollingeri"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus zonatus"	"LC"	"LC"	"LC___LC"
"Calyptrocalyx albertisianus"	"LC"	"LC"	"LC___LC"
"Calyptrocalyx amoenus"	"NA"	"NA"	"NA___NA"
"Calyptrocalyx arfakianus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx awa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx caudiculatus"	"NA"	"NA"	"NA___NA"
"Calyptrocalyx doxanthus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx elegans"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx flabellatus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx forbesii"	"LC"	"nonLC"	"LC___nonLC"
"Calyptrocalyx geonomiformis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx hollrungii"	"LC"	"nonLC"	"LC___nonLC"
"Calyptrocalyx julianettii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx lauterbachianus"	"LC"	"nonLC"	"LC___nonLC"
"Calyptrocalyx laxiflorus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx lepidotus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx leptostachys"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx merrillianus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx micholitzii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx multifidus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx pachystachys"	"LC"	"nonLC"	"LC___nonLC"
"Calyptrocalyx pauciflorus"	"NA"	"NA"	"NA___NA"
"Calyptrocalyx polyphyllus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx pusillus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx sessiliflorus"	"LC"	"nonLC"	"LC___nonLC"
"Calyptrocalyx spicatus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrocalyx yamutumene"	"NA"	"NA"	"NA___NA"
"Calyptrogyne allenii"	"LC"	"nonLC"	"LC___nonLC"
"Calyptrogyne anomala"	"LC"	"nonLC"	"LC___nonLC"
"Calyptrogyne baudensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrogyne coloradensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrogyne condensata"	"LC"	"nonLC"	"LC___nonLC"
"Calyptrogyne costatifrons"	"LC"	"LC"	"LC___LC"
"Calyptrogyne deneversii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrogyne fortunensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrogyne ghiesbreghtiana"	"LC"	"LC"	"LC___LC"
"Calyptrogyne herrerae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrogyne kunorum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrogyne osensis"	"LC"	"nonLC"	"LC___nonLC"
"Calyptrogyne panamensis"	"LC"	"nonLC"	"LC___nonLC"
"Calyptrogyne pubescens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrogyne sanblasensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptrogyne trichostachys"	"LC"	"nonLC"	"LC___nonLC"
"Calyptrogyne tutensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptronoma occidentalis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calyptronoma plumeriana"	"LC"	"nonLC"	"LC___nonLC"
"Calyptronoma rivalis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Carpentaria acuminata"	"LC"	"LC"	"LC___LC"
"Carpoxylon macrospermum"	"NA"	"NA"	"NA___NA"
"Caryota alberti"	"NA"	"NA"	"NA___NA"
"Caryota angustifolia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Caryota cumingii"	"LC"	"nonLC"	"LC___nonLC"
"Caryota kiriwongensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Caryota maxima"	"LC"	"LC"	"LC___LC"
"Caryota mitis"	"LC"	"LC"	"LC___LC"
"Caryota monostachya"	"LC"	"LC"	"LC___LC"
"Caryota no"	"LC"	"nonLC"	"LC___nonLC"
"Caryota obtusa"	"LC"	"LC"	"LC___LC"
"Caryota ophiopellis"	"NA"	"NA"	"NA___NA"
"Caryota rumphiana"	"LC"	"LC"	"LC___LC"
"Caryota sympetala"	"LC"	"LC"	"LC___LC"
"Caryota urens"	"LC"	"LC"	"LC___LC"
"Caryota zebrina"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Ceroxylon alpinum"	"LC"	"nonLC"	"LC___nonLC"
"Ceroxylon amazonicum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Ceroxylon ceriferum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Ceroxylon echinulatum"	"LC"	"nonLC"	"LC___nonLC"
"Ceroxylon parvifrons"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Ceroxylon parvum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Ceroxylon peruvianum"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Ceroxylon pityrophyllum"	"LC"	"nonLC"	"LC___nonLC"
"Ceroxylon quindiuense"	"LC"	"LC"	"LC___LC"
"Ceroxylon sasaimae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Ceroxylon ventricosum"	"LC"	"nonLC"	"LC___nonLC"
"Ceroxylon vogelianum"	"LC"	"LC"	"LC___LC"
"Chamaedorea adscendens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea allenii"	"LC"	"LC"	"LC___LC"
"Chamaedorea alternans"	"LC"	"LC"	"LC___LC"
"Chamaedorea amabilis"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea anemophila"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea angustisecta"	"LC"	"LC"	"LC___LC"
"Chamaedorea arenbergiana"	"LC"	"LC"	"LC___LC"
"Chamaedorea atrovirens"	"NA"	"NA"	"NA___NA"
"Chamaedorea benziei"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea binderi"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea brachyclada"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea brachypoda"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea carchensis"	"LC"	"LC"	"LC___LC"
"Chamaedorea castillo-montii"	"NA"	"NA"	"NA___NA"
"Chamaedorea cataractarum"	"LC"	"LC"	"LC___LC"
"Chamaedorea christinae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea correae"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea costaricana"	"LC"	"LC"	"LC___LC"
"Chamaedorea crucensis"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea dammeriana"	"LC"	"LC"	"LC___LC"
"Chamaedorea deckeriana"	"LC"	"LC"	"LC___LC"
"Chamaedorea deneversiana"	"LC"	"LC"	"LC___LC"
"Chamaedorea elatior"	"LC"	"LC"	"LC___LC"
"Chamaedorea elegans"	"LC"	"LC"	"LC___LC"
"Chamaedorea ernesti-augusti"	"NA"	"NA"	"NA___NA"
"Chamaedorea falcifera"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea foveata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea fractiflexa"	"nonLC"	"nonLC"	"nonLC___nonLC"
