"Species"	"s1_HUF_BS"	"s1_HUF_BS_pd"	"s1_HUF_BS_fd"	"s1_HUMa_BS"	"s1_HUMa_BS_pd"	"s1_HUMa_BS_fd"	"s1_HUMe_BS"	"s1_HUMe_BS_pd"	"s1_HUMe_BS_fd"	"s1_HUC_BS"	"s1_HUC_BS_pd"	"s1_HUC_BS_fd"	"s1_HUF_WS"	"s1_HUF_WS_pd"	"s1_HUF_WS_fd"	"s1_HUMa_WS"	"s1_HUMa_WS_pd"	"s1_HUMa_WS_fd"	"s1_HUMe_WS"	"s1_HUMe_WS_pd"	"s1_HUMe_WS_fd"	"s1_HUC_WS"	"s1_HUC_WS_pd"	"s1_HUC_WS_fd"
"Calamus oxycarpus"	0.652786262354806	0.652224077247599	0.0012262917491767	0.63395878517513	0.702178796484127	0.000270464040851574	0.838652503575128	0.294234061119499	0.00118999815128068	0.619090582803808	0.717217955192023	0.0012262917491767	0.652786262354806	0.652224077247599	0.0012262917491767	0.63395878517513	0.702178796484127	0.000270464040851574	0.838652503575128	0.294234061119499	0.00118999815128068	0.619090582803808	0.717217955192023	0.0012262917491767
"Calamus oxycoccus"	0.685706265976018	0.603843082142002	0.000166932487934232	0.68640477095427	0.603843082142002	7.2514790701575e-05	0.676978019614742	0.62202586207515	7.2514790701575e-05	0.625319020685898	0.721668270711868	7.2514790701575e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus pachypus"	0.745070218118281	0.486614376495151	0.000357869149398331	1	0	0	0.784597422697299	0.410372367308045	0.000357869149398331	1	0	0	0.745070218118281	0.486614376495151	0.000357869149398331	1	0	0	0.784597422697299	0.410372367308045	0.000357869149398331	1	0	0
"Calamus pachyrostris"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus pachystemonus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus padangensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus palembanicus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus pandanosmus"	0.668698317874112	0.632580301574954	0.000452050542559202	0.781045456617965	0.416149606536671	0.00043313129699573	0.660959810564183	0.647506713692933	0.000452050542559202	0.659533054469513	0.650258710765231	0.000452050542559202	0.668698317874112	0.632580301574954	0.000452050542559202	0.781045456617965	0.416149606536671	0.00043313129699573	0.660959810564183	0.647506713692933	0.000452050542559202	0.659533054469513	0.650258710765231	0.000452050542559202
"Calamus pannosus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus papuanus"	0.632139327265884	0.660555452939628	0.00343330951997372	0.65851432962208	0.658674295222962	0	0.650019064244471	0.662820161420017	0.000857777832987908	0.590435112228688	0.658674295222962	0.00920234377108867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus papyraceus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus parutan"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus parvifructus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus parvulus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus paspalanthus"	0.682776088609343	0.608886611589908	0.000209564145375909	1	0	0	1	0	0	0.677627677434999	0.615084498498383	0.000471141140138766	0.682776088609343	0.608886611589908	0.000209564145375909	1	0	0	1	0	0	0.677627677434999	0.615084498498383	0.000471141140138766
"Calamus paulii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus pedicellaris"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus pedicellatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus penicillatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus perakensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus peregrinus"	0.725859752175205	0.516118116670056	0.000886987266547632	0.742841487368965	0.483362913653678	0.000886987266547632	0.717369185394507	0.516118116670056	0.00203466665122506	0.650439326105592	0.637099839495766	0.00260341575885377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus periacanthus"	1	0	0	1	0	0	1	0	0	0.617002233388671	0.721668270712888	0.00119670420864081	1	0	0	1	0	0	1	0	0	0.617002233388671	0.721668270712888	0.00119670420864081
"Calamus pholidostachys"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus pilosellus"	0.66567384932896	0.644590470704827	1.92150068849882e-05	1	0	0	0.665790136026274	0.644366171224523	1.92150068849882e-05	0.665673849328789	0.644590470705157	1.92150068849882e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus pilosissimus"	0.670036078862598	0.636450580674896	0	0.742724147124325	0.496246272598292	0	0.672420608374299	0.631851183301004	0	0.742724147124325	0.496246272598292	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus pintaudii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus plagiocyclus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus platyspathus"	0.655513497834277	0.656962650277445	0.000525575531377695	0.656736456305621	0.654303202735162	0.000546637338268886	0.650615139265766	0.656962650277445	0.00118769212418502	0.653997593379212	0.659886601075909	0.000525575531377695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus plicatus"	0.695446820583078	0.587437096813899	0	1	0	0	0.710882985632518	0.557663065231159	0	0.695446820583083	0.587437096813889	0	0.695446820583078	0.587437096813899	0	1	0	0	0.710882985632518	0.557663065231159	0	0.695446820583083	0.587437096813889	0
"Calamus poensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus pogonacanthus"	0.6652058508541	0.645439268989056	2.29922531646125e-05	1	0	0	0.648159873087207	0.645047399719716	0.00235457775172419	0.654911555658095	0.645439268989385	0.00141448362013685	0.6652058508541	0.645439268989056	2.29922531646125e-05	1	0	0	0.648159873087207	0.645047399719716	0.00235457775172419	0.654911555658095	0.645439268989385	0.00141448362013685
"Calamus pogonotium"	0.655749798034148	0.659771792841612	0.000296773678197826	0.657413906379803	0.659771792841612	7.18342964690772e-05	0.657249330258171	0.659771792841612	9.40802344476781e-05	0.621687688602259	0.721668270711988	0.000563365999918036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus poilanei"	0.705975460389355	0.498794502771216	0.00478878448061067	1	0	0	0.705975460389355	0.498794502771216	0.00478878448061067	0.63423566783146	0.637169730200872	0.00478878448061067	0.705975460389355	0.498794502771216	0.00478878448061067	1	0	0	0.705975460389355	0.498794502771216	0.00478878448061067	0.63423566783146	0.637169730200872	0.00478878448061067
"Calamus politus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus polycladus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus polystachys"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus pseudoconcolor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus pseudotenuis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
