"species"	"IUCN_TS_sum"	"IUCN_TS_sum_InclOld"	"Subset"	"Predicted_class_MOST"	"Predicted_PnonLC_MOST"	"Predicted_PLC_MOST"	"Expert"	"subset_plot_iucn_MOST"	"subset_plot_IUCNpreds1_MOST"	"subset_plot_IUCNpreds2_MOST"	"subset_plot_IUCNpreds1_exp_MOST"	"subset_plot_IUCNpreds2_exp_MOST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"	"Predicted_class_LEAST"	"Predicted_PnonLC_LEAST"	"Predicted_PLC_LEAST"	"subset_plot_iucn_LEAST"	"subset_plot_IUCNpreds1_LEAST"	"subset_plot_IUCNpreds2_LEAST"	"subset_plot_IUCNpreds1_exp_LEAST"	"subset_plot_IUCNpreds2_exp_LEAST"	"FD_G"	"ED"	"FDcat"	"EDcat"	"REC"	"OLD"	"PRED"	"Subset2"	"RLa"	"RLro"	"RLr"	"RLa_MLp_BS"	"RLro_MLpr_BS"	"RLr_MLpr_BS"	"RLa_MLp_WS"	"RLro_MLpr_WS"	"RLr_MLpr_WS"	"RLro_MLpr_EG_BS"	"RLro_MLpr_EG_WS"
"Calamus elongatus"	"NE"	"NE"	"PREDICTED"	"LC"	"0.276"	"0.724"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"CE"	"1"	"4.85"	"0.75"	"0.7"	"0.192422550032375"	"0.75"	"0.7"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"nonLC"	"0.605117177540674"	"0.394882822459326"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.285229081333847	"4.85249060417053"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Calamus equestris"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"EAsiaPacific"	"C"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.321521549066417	"NA"	"YES"	"NA"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Calamus erectus"	"NE"	"LC"	"PREDICTED"	"LC"	"0.21"	"0.79"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"1"	"NA"	"5"	"2.5"	"16.3624617374468"	"5"	"2.5"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"YES"	"YES"	"NO"	"LC"	"0.308236991532169"	"0.691763008467831"	"LC"	"LC"	"LC"	"LC"	"LC"	0.249142818417334	"8.17585911026618"	"NO"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"LC"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Calamus erinaceus"	"NE"	"NE"	"PREDICTED"	"LC"	"0.158"	"0.842"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"NA"	"1"	"1"	"0.523598775598299"	"1"	"1"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"YES"	"YES"	"NO"	"LC"	"0.336290190785579"	"0.663709809214421"	"NA"	"LC"	"LC"	"LC"	"LC"	0.314867375193736	"6.24079778280443"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Calamus erioacanthus"	"LC"	"LC"	"TEST"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"NA"	"1.7"	"1.5"	"2.00276531666349"	"1.7"	"1.5"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	0.315591885518774	"3.25784046442433"	"YES"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Calamus erythrocarpus"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.936"	"0.064"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.74252633457035"	"0.25747366542965"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.221748200322881	"NA"	"NO"	"NA"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Calamus essigii"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.922"	"0.078"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"NA"	"0.95"	"0.9"	"0.402909257822891"	"0.95"	"0.9"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.742219056033868"	"0.257780943966132"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.318385801453195	"3.62034230714391"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Calamus eugenei"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.402"	"0.598"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"C"	"1"	"3.65"	"2.5"	"2.5"	"8.18123086872342"	"2.5"	"2.5"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.607059848942903"	"0.392940151057097"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.296521757462216	"4.00903609016018"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Calamus evansii"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.317304058121574	"4.14924773091112"	"YES"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"
"Calamus exilis"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.194"	"0.806"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"C"	"1"	"NA"	"1.6"	"1.2"	"1.20637157897848"	"1.6"	"1.2"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"LC"	"0.36716486018231"	"0.63283513981769"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	0.294225302689757	"3.64400767397816"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"LC"	"LC"	"LC"	"LC"
"Calamus fertilis"	"NE"	"LC"	"PREDICTED"	"LC"	"0.09"	"0.91"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"NA"	"1.48"	"0.85"	"0.559884170747261"	"1.48"	"0.85"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.523939105002651"	"0.476060894997349"	"LC"	"LC"	"nonLC"	"LC"	"nonLC"	0.296899584626848	"3.43667670486016"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"LC"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Calamus filipendulus"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"NA"	"1.4"	"0.9"	"0.593761011528471"	"1.4"	"0.9"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.315821065707913	"3.27645154319875"	"YES"	"NO"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"
"Calamus filispadix"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.956"	"0.044"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"NA"	"1.15"	"0.9"	"0.487732259469815"	"1.15"	"0.9"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"nonLC"	"0.742586088756878"	"0.257413911243122"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.321643164066047	"4.918344578665"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Calamus fissilis"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.86"	"0.14"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.696612066031439"	"0.303387933968561"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.315734166964545	"3.89524078824026"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Calamus fissus"	"NE"	"NE"	"PREDICTED"	"LC"	"0.13"	"0.87"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"4.4"	"1.7"	"1.7"	"2.57244078451444"	"1.7"	"1.7"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"YES"	"YES"	"NO"	"LC"	"0.40395893630583"	"0.59604106369417"	"NA"	"LC"	"LC"	"LC"	"LC"	0.320981436034798	"4.99745707220838"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Calamus flabellatus"	"NE"	"NE"	"PREDICTED"	"LC"	"0.172"	"0.828"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"NA"	"1.1"	"0.7"	"0.282219740047483"	"1.1"	"0.7"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"LC"	"0.298116161927724"	"0.701883838072276"	"NA"	"LC"	"LC"	"LC"	"LC"	0.322161641253577	"2.89573706892039"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Calamus flagellum"	"NE"	"LC"	"PREDICTED"	"LC"	"0.024"	"0.976"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"NA"	"3"	"2.1"	"6.92721180116549"	"3"	"2.1"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"YES"	"YES"	"NO"	"LC"	"0.171646312758636"	"0.828353687241364"	"LC"	"LC"	"LC"	"LC"	"LC"	0.320873180708894	"4.41337429425656"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"LC"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Calamus flexilis"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.768"	"0.232"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"1.75"	"0.65"	"NA"	"NA"	"0.65"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"nonLC"	"0.738826218323632"	"0.261173781676368"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.32001976536548	"4.91047730159472"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Calamus floribundus"	"NE"	"NE"	"PREDICTED"	"LC"	"0.442"	"0.558"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"NA"	"1.2"	"1"	"0.628318530717959"	"1.2"	"1"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.529176588008473"	"0.470823411991527"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.315972419215543	"4.13678153755726"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Calamus forbesii"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"1.78"	"1.85"	"1.8"	"3.1384510609362"	"1.85"	"1.8"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.315996288647963	"4.71876952684073"	"YES"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"
"Calamus formicarius"	"NE"	"NE"	"PREDICTED"	"LC"	"0.204"	"0.796"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"1.83"	"1.15"	"0.8"	"0.385368698840348"	"1.15"	"0.8"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.548293912592047"	"0.451706087407953"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.294770242932302	"5.07371472179309"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Calamus formosanus"	"LC"	"LC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"NA"	"2"	"1"	"1.0471975511966"	"2"	"1"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	0.31563254805138	"3.37529490669328"	"YES"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Calamus foxworthyi"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.321521549066417	"4.57788293125552"	"YES"	"NO"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"
"Calamus gamblei"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"LC"	"NA"	"NA"	"NA"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"NA"	"2"	"2"	"4.18879020478639"	"2"	"2"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	0.327190903874538	"5.14578754588929"	"YES"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"
"Calamus geniculatus"	"NE"	"NE"	"PREDICTED"	"LC"	"0.11"	"0.89"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"5.8"	"2.2"	"2.2"	"5.57527976257069"	"2.2"	"2.2"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"LC"	"0.395257309719887"	"0.604742690280113"	"NA"	"LC"	"LC"	"LC"	"LC"	0.298110405598752	"4.95432674880248"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Calamus georgei"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"EAsiaPacific"	"C"	"1"	"2.55"	"1.1"	"0.8"	"0.368613538021202"	"1.1"	"0.8"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0.316200206596281	"5.3213571400831"	"YES"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Calamus gibbsianus"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.632"	"0.368"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"NA"	"1.6"	"1.2"	"1.20637157897848"	"1.6"	"1.2"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.651498365326692"	"0.348501634673308"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.316119980128301	"3.73709398012893"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Calamus glaucescens"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"NA"	"1.2"	"0.5"	"0.15707963267949"	"1.2"	"0.5"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.316620640549792	"5.32916274790456"	"YES"	"NO"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"
"Calamus godefroyi"	"nonLC"	"nonLC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"NA"	"1.6"	"1.2"	"1.20637157897848"	"1.6"	"1.2"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.320131757244656	"4.18646382790377"	"YES"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Calamus gonospermus"	"NE"	"NE"	"PREDICTED"	"LC"	"0.236"	"0.764"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"NA"	"2"	"1.54"	"2.48353371241785"	"2"	"1.54"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.570054854740773"	"0.429945145259227"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.315807094749547	"5.18406170068799"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Calamus gracilipes"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.986"	"0.014"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"CE"	"1"	"2.65"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NA"	"NA"	"YES"	"NA"	"NA"	"NO"	"NA"	"YES"	"YES"	"YES"	"NO"	"NO"	"nonLC"	"0.737416209732285"	"0.262583790267715"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.3110272038629	"5.07929235205592"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Calamus gracilis"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"NA"	"2.7"	"2"	"5.65486677646163"	"2.7"	"2"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"YES"	"NO"	"YES"	"YES"	"NO"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.328188090763576	"4.71156734412227"	"YES"	"NO"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"
"Calamus grandifolius"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"C"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.321521549066417	"2.86071528242205"	"YES"	"NO"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"
"Calamus grandis"	"NE"	"NE"	"PREDICTED"	"LC"	"0.286"	"0.714"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"C"	"1"	"5.76"	"2.5"	"2.5"	"8.18123086872342"	"2.5"	"2.5"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"NO"	"nonLC"	"0.644160411467976"	"0.355839588532024"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.321080374643047	"4.75126394014616"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
