"Species"	"s1_HUF_BS"	"s1_HUF_BS_pd"	"s1_HUF_BS_fd"	"s1_HUMa_BS"	"s1_HUMa_BS_pd"	"s1_HUMa_BS_fd"	"s1_HUMe_BS"	"s1_HUMe_BS_pd"	"s1_HUMe_BS_fd"	"s1_HUC_BS"	"s1_HUC_BS_pd"	"s1_HUC_BS_fd"	"s1_HUF_WS"	"s1_HUF_WS_pd"	"s1_HUF_WS_fd"	"s1_HUMa_WS"	"s1_HUMa_WS_pd"	"s1_HUMa_WS_fd"	"s1_HUMe_WS"	"s1_HUMe_WS_pd"	"s1_HUMe_WS_fd"	"s1_HUC_WS"	"s1_HUC_WS_pd"	"s1_HUC_WS_fd"
"Attalea degranvillei"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea dubia"	0.865683096653382	0.102796698837011	0.00634853222146485	0.865683096653382	0.102796698837011	0.00634853222146485	0.77915151662101	0.102796698837011	0.0139708742968415	0.865683096653382	0.102796698837011	0.00634853222146485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea eichleri"	0.831344607354361	0.0385220483182799	0.0128016796960695	0.931832664350133	0.0385220483182799	0.0039499478240158	0.830844224243028	0.0385220483182799	0.0128457571443478	0.931832664350133	0.0385220483182799	0.0039499478240158	0.831344607354361	0.0385220483182799	0.0128016796960695	0.931832664350133	0.0385220483182799	0.0039499478240158	0.830844224243028	0.0385220483182799	0.0128457571443478	0.931832664350133	0.0385220483182799	0.0039499478240158
"Attalea exigua"	0.902091493383202	0.106202001010757	0.00295977501070075	0.902091493383202	0.106202001010757	0.00295977501070075	0.900955419108575	0.108078178571751	0.00295977501070075	0.902091493383202	0.106202001010757	0.00295977501070075	0.902091493383202	0.106202001010757	0.00295977501070075	0.902091493383202	0.106202001010757	0.00295977501070075	0.900955419108575	0.108078178571751	0.00295977501070075	0.902091493383202	0.106202001010757	0.00295977501070075
"Attalea fairchildensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea funifera"	1	0	0	1	0	0	1	0	0	0.709015788134527	0.100261049708828	0.0202841979306598	1	0	0	1	0	0	1	0	0	0.709015788134527	0.100261049708828	0.0202841979306598
"Attalea geraensis"	0.86412691345463	0.105258354233565	0.00635430959917492	0.879595677467882	0.105258354233565	0.00499170636520905	0.859181238259227	0.105258354233565	0.00678996127823775	0.879595677467882	0.105258354233565	0.00499170636520905	0.86412691345463	0.105258354233565	0.00635430959917492	0.879595677467882	0.105258354233565	0.00499170636520905	0.859181238259227	0.105258354233565	0.00678996127823775	0.879595677467882	0.105258354233565	0.00499170636520905
"Attalea guacuyule"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea guianensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea hoehnei"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
