"FD_G","species"
0.319672371222363,"Calamus karuensis"
0.221748200322881,"Calamus katikii"
0.221748200322881,"Calamus kebariensis"
0.285811323777189,"Calamus kiahii"
0.316516459295782,"Calamus kingianus"
0.321521549066417,"Calamus kjellbergii"
0.323482757801665,"Calamus klossii"
0.221748200322881,"Calamus komsaryi"
0.339240653710117,"Calamus kontumensis"
0.321521549066417,"Calamus koordersianus"
0.297231146665624,"Calamus korthalsii"
0.221748200322881,"Calamus kostermansii"
0.284660705632587,"Calamus kunstleri"
0.318052545906665,"Calamus kurzianus"
0.317047511752638,"Calamus lakshmanae"
0.336027992482969,"Calamus lambirensis"
0.321521549066417,"Calamus lamprolepis"
0.322159533591604,"Calamus laoensis"
0.31231025829612,"Calamus lateralis"
0.316180252657905,"Calamus latifolius"
0.321521549066417,"Calamus lauterbachii"
0.289284815331116,"Calamus laxissimus"
0.321521549066417,"Calamus leiocaulis"
0.290973618079188,"Calamus leloi"
0.319836499132423,"Calamus leptopus"
0.317626593819741,"Calamus leptospadix"
0.320659790844561,"Calamus leptostachys"
0.328614163969414,"Calamus lewisianus"
0.32603688681419,"Calamus lobbianus"
0.31712839172641,"Calamus loherianus"
0.317007576204909,"Calamus longibracteatus"
0.221748200322881,"Calamus longipes"
0.324811829612179,"Calamus longipinna"
0.330112430885008,"Calamus longisetus"
0.316076278727651,"Calamus longispatha"
0.321521549066417,"Calamus longispinosus"
0.28385652839122,"Calamus longistipes"
0.221748200322881,"Calamus lucysmithiae"
0.323183116639769,"Calamus luteus"
0.326844760561834,"Calamus macrochlamys"
0.315638364984809,"Calamus macrophyllus"
0.300564705417185,"Calamus macropterus"
0.271410221959337,"Calamus macrorhynchus"
0.303769495662927,"Calamus macrosphaerion"
0.289488494264523,"Calamus maculatus"
0.248352675434663,"Calamus maiadum"
0.318709979372882,"Calamus malawaliensis"
0.358295530980651,"Calamus manan"
0.319595349261222,"Calamus manii"
0.319723517223669,"Calamus manillensis"
0.293601584665839,"Calamus marginatus"
0.300964119351854,"Calamus mattanensis"
0.320266956224196,"Calamus maturbongsii"
0.321521549066417,"Calamus megalocarpus"
0.321643164066047,"Calamus megaphyllus"
0.33146921810756,"Calamus meghalayensis"
0.299211654019223,"Calamus melanacanthos"
0.321521549066417,"Calamus melanochaetes"
0.320607824003769,"Calamus melanochrous"
0.321521549066417,"Calamus melanoloma"
0.321456873541804,"Calamus melanorhynchus"
0.330648902584961,"Calamus merrillii"
0.322516838799679,"Calamus metzianus"
0.317470540196852,"Calamus micracanthus"
0.320053886708945,"Calamus micranthus"
0.291001852253189,"Calamus microsphaerion"
0.353150050458424,"Calamus microstachys"
0.321649639386145,"Calamus minahassae"
0.334862459522664,"Calamus minor"
0.327220180047034,"Calamus minutus"
0.321521549066417,"Calamus mirabilis"
0.319385617399142,"Calamus mitis"
0.27259266314136,"Calamus modestus"
0.333294169770774,"Calamus mogeae"
0.319496921315422,"Calamus mogeanus"
0.321846779066317,"Calamus mollis"
0.313803616613131,"Calamus mollispinus"
0.314727940137496,"Calamus monticola"
0.243472455608065,"Calamus moorei"
0.31960316193412,"Calamus moorhousei"
0.321521549066417,"Calamus moseleyanus"
0.321521549066417,"Calamus moszkowskianus"
0.333940390320254,"Calamus moti"
0.324071001869221,"Calamus muelleri"
0.315349554254946,"Calamus multispicatus"
0.291332434389942,"Calamus muricatus"
0.24409337172071,"Calamus myriacanthus"
0.221748200322881,"Calamus myrianthus"
0.317923006777565,"Calamus nagbettai"
0.221748200322881,"Calamus nanduensis"
0.321521549066417,"Calamus nannostachys"
0.327812110843734,"Calamus nanodendron"
0.295479015469553,"Calamus nematospadix"
0.319729833574363,"Calamus nicobaricus"
0.221748200322881,"Calamus nicolai"
0.336105788114532,"Calamus nielsenii"
0.321521549066417,"Calamus niger"
0.221748200322881,"Calamus nitidus"
0.221748200322881,"Calamus novae-georgii"
0.221657873988738,"Calamus nuichuaensis"
0.316132760097886,"Calamus oblatus"
0.315707798194909,"Calamus oblongus"
0.326176688222977,"Calamus occidentalis"
0.301293277521005,"Calamus ochrolepis"
0.314674712451414,"Calamus ocreatus"
0.321637078695962,"Calamus oligolepis"
0.319785965910691,"Calamus oligophyllus"
0.317210743896652,"Calamus oligostachys"
0.327021285956287,"Calamus optimus"
0.221748200322881,"Calamus oresbius"
0.334818150370609,"Calamus ornatus"
0.321843947319616,"Calamus orthostachyus"
0.346624204324959,"Calamus ovoideus"
0.293824480768266,"Calamus oxleyanus"
0.273109862020204,"Calamus oxycarpus"
0.315346640765246,"Calamus oxycoccus"
0.297025932180036,"Calamus pachypus"
0.321521549066417,"Calamus pachyrostris"
0.319625329395399,"Calamus pachystemonus"
0.278313668929394,"Calamus padangensis"
0.321521549066417,"Calamus palembanicus"
0.316821377408509,"Calamus pandanosmus"
0.321351761958767,"Calamus pannosus"
0.318365717117209,"Calamus papuanus"
0.221748200322881,"Calamus papyraceus"
0.221748200322881,"Calamus parutan"
0.321521549066417,"Calamus parvifructus"
0.31597325468798,"Calamus parvulus"
0.29061309715354,"Calamus paspalanthus"
0.244085778750587,"Calamus paulii"
0.321813660629037,"Calamus pedicellaris"
0.321521549066417,"Calamus pedicellatus"
0.325527608536038,"Calamus penicillatus"
0.364598284465832,"Calamus perakensis"
0.299936071357328,"Calamus peregrinus"
0.293975774422588,"Calamus periacanthus"
0.301967359456905,"Calamus pholidostachys"
0.324680113775306,"Calamus pilosellus"
