"Region"	"Scenario"	"Use"	"Category"	"PercentageA"	"NumberA"	"NumberUT"
"248"	"ARI"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"249"	"ARI"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"250"	"ARI"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"251"	"ARI"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"252"	"ARI"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"253"	"ARI"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"254"	"ARI"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"255"	"ARI"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"256"	"ARI"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"257"	"ARI"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"258"	"ARK"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"259"	"ARK"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"260"	"ARK"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"261"	"ARK"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"262"	"ARK"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"263"	"ARK"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"264"	"ARK"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"265"	"ARK"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"266"	"ARK"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"267"	"ARK"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"268"	"ARK"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"269"	"ARK"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"270"	"ARK"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"271"	"ARK"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"272"	"ARK"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"273"	"ARK"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
