species	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Chamaedorea klotzschiana	non-LC	non-LC	1	0	0	0	0	1	1	0	0	4	3	understorey	6	1.4	1	0.45	1.05	0.9	1.2	0.8	0.7	0.9	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea lehmannii	non-LC	NA	1	0	0	0	0	1	1	0	0	2	2	understorey	7	0.65	0.45	0.22	0.65	NA	NA	0.65	0.6	0.7	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea liebmannii	LC	LC	1	0	0	0	0	1	1	0	0	4	2	understorey	9	0.72	0.45	0.3	1	NA	NA	1	NA	NA	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea linearis	LC	LC	1	0	0	0	0	1	1	0	0	10	8	canopy	8	3.8	2.3	1.55	1.65	NA	NA	1.65	0.8	2.5	small	ovoid	conspicuous	0	1	0	0	0	0	0	0	0	0
Chamaedorea lucidifrons	LC	LC	1	0	0	0	0	1	1	0	0	2	3	understorey	5	1.1	0.65	0.5	0.55	0.5	0.6	0.45	0.4	0.5	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea macrospadix	LC	LC	1	0	0	0	0	1	1	0	0	3	2.5	understorey	7	1.25	0.6	0.7	0.85	0.7	1	0.7	0.6	0.8	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea matae	LC	LC	1	0	0	0	0	1	1	0	0	3	2	understorey	7	0.7	0.7	NA	0.75	0.7	0.8	0.55	0.5	0.6	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea metallica	non-LC	non-LC	1	0	0	0	0	1	1	0	0	3	1.5	understorey	16	0.36	0.32	0.06	1.1	1	1.2	0.85	0.8	0.9	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea microphylla	non-LC	LC	1	0	0	0	0	1	1	0	0	1	1.5	understorey	5	0.35	0.25	0.12	0.6	NA	NA	0.4	NA	NA	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea microspadix	LC	LC	1	0	0	0	0	1	0	0	0	3	1	understorey	NA	0.75	0.5	0.28	1	NA	NA	1	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea moliniana	non-LC	LC	1	0	0	0	0	1	1	0	0	3	1.75	understorey	5	0.65	0.65	NA	1	NA	NA	1	NA	NA	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea nationsiana	non-LC	NA	1	0	0	0	0	1	1	0	0	2.5	3	understorey	6	1.75	1	0.8	1.25	NA	NA	1.25	1	1.5	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea neurochlamys	LC	LC	1	0	0	0	0	1	1	0	0	4.5	2.5	understorey	5	0.94	0.65	0.32	1	NA	NA	0.5	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea nubium	LC	LC	1	0	0	0	0	1	0	0	0	3	1	understorey	7	0.58	0.45	0.15	1.2	1	1.4	1.1	NA	NA	small	elongate	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea oblongata	non-LC	non-LC	1	0	0	0	0	1	1	0	0	3	2.5	understorey	8	0.99	0.6	0.44	1.1	0.8	1.4	0.7	0.6	0.8	small	ovoid	cryptic	0	1	0	0	0	0	0	0	0	0
Chamaedorea oreophila	non-LC	non-LC	1	0	0	0	0	1	1	0	0	3	2	understorey	13	1.15	0.8	0.4	0.95	0.6	1.3	0.6	0.4	0.8	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea pachecoana	non-LC	NA	1	0	0	0	0	1	1	0	0	0.3	1	understorey	12	0.4	0.2	0.22	1	NA	NA	0.7	0.6	0.8	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea palmeriana	LC	LC	1	0	0	0	0	1	1	0	0	1	1	understorey	7	0.4	0.25	0.17	1.2	NA	NA	0.9	0.8	1	small	elongate	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea parvifolia	non-LC	LC	1	0	0	0	0	1	1	0	0	2	1.5	understorey	8	0.38	0.23	0.17	NA	NA	NA	NA	NA	NA	NA	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea parvisecta	non-LC	non-LC	1	0	0	0	0	1	1	0	0	2	0.7	understorey	5	0.7	0.4	0.33	1	NA	NA	0.9	NA	NA	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea pauciflora	LC	LC	1	0	0	0	0	1	1	0	0	2	2	understorey	9	1.25	0.64	0.66	1.35	1	1.5	0.65	0.5	0.8	small	ovoid	cryptic	0	1	0	0	1	0	1	1	0	1
Chamaedorea pedunculata	non-LC	NA	1	0	0	0	0	1	1	0	0	3	2.5	understorey	6	1	1	NA	0.75	NA	NA	0.75	0.7	0.8	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea pinnatifrons	LC	LC	1	0	0	0	0	1	1	0	0	4.5	3	understorey	10	1.5	0.75	0.8	1.25	0.5	2	0.45	0.4	1.8	small	NA	cryptic	1	1	0	0	1	0	1	1	0	1
Chamaedorea piscifolia	non-LC	non-LC	1	0	0	0	0	1	1	0	0	1.5	0.6	understorey	14	0.26	0.19	0.09	1.2	NA	NA	0.8	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea pittieri	non-LC	LC	1	0	0	0	0	1	1	0	0	2	2	understorey	9	0.55	0.4	0.17	1	NA	NA	0.6	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea plumosa	non-LC	non-LC	1	0	0	0	0	1	1	0	0	4	6.5	understorey	9	1.35	1	0.4	1.1	NA	NA	1.1	NA	NA	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea pochutlensis	LC	LC	1	0	0	0	0	1	0	0	0	5	3	understorey	5	1.3	1	0.33	1.35	1.2	1.5	0.9	0.8	1	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea ponderosa	non-LC	NA	1	0	0	0	0	1	1	0	0	4	2.5	understorey	NA	0.75	0.5	0.28	0.8	NA	NA	0.7	NA	NA	small	ovoid	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
