"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"FLO"	"ECO"	"TDWG3"
"Licuala averyanovii"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00168918918918919	0.00114155251141553	0.000381679389312977	NA	0.186474919235825	0.016	0
"Licuala bachmaensis"	8	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00337837837837838	0.00228310502283105	0.00190839694656489	2.25237132835849e-06	0.306138726401246	0.024	0
"Licuala bacularia"	8	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0101351351351351	0.00684931506849315	0.00267175572519084	0.000635264948040871	0.157243088410653	0.024	0
"Licuala beccariana"	18	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0219594594594595	0.0148401826484018	0.00572519083969466	0.000423559754013196	0.123186336848849	0.024	0
"Licuala bellatula"	4	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00337837837837838	0.00228310502283105	0.00114503816793893	0.000278645472647814	0.0458402877843586	0.024	0
"Licuala bidoupensis"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0.000381679389312977	NA	0.0410941214512726	0.008	0
"Licuala bifida"	1	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0	NA	0.0402595288524272	0.008	0
"Licuala bracteata"	10	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00675675675675676	0.00570776255707763	0.00190839694656489	6.81149357085166e-06	0.192299314175033	0.024	0
"Licuala brevicalyx"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00168918918918919	0.00114155251141553	0.000381679389312977	NA	0.0529055623952569	0.016	0
"Licuala cattienensis"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0.000381679389312977	NA	0.131239445767932	0.008	0
"Licuala celebica"	3	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00337837837837838	0.00228310502283105	0.000763358778625954	0.000131790990820974	0.143443362437128	0.016	0
"Licuala chaiana"	2	"Data Deficient"	"NE"	"Data Deficient"	"NE"	"NOT_ASSESSED"	0.00168918918918919	0.00114155251141553	0.000381679389312977	NA	0.746749889077906	0.008	0
"Licuala concinna"	10	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0135135135135135	0.0091324200913242	0.00343511450381679	0.00109276203483731	0.107940193928102	0.04	0
"Licuala crassiflora"	3	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00168918918918919	0.00114155251141553	0.000763358778625954	3.8492707937507e-06	0.106029465777744	0.016	0
"Licuala dakrongensis"	4	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00506756756756757	0.00342465753424658	0.00114503816793893	9.5839559909366e-06	0.175084655414848	0.016	0
"Licuala distans"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00168918918918919	0.00114155251141553	0.000381679389312977	NA	0.342274613347618	0.016	0
