"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"FLO"	"ECO"	"TDWG3"
"Licuala penduliflora"	7	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	7	7	28	587887.92258576	0.0367346551003201	4	1
"Licuala platydactyla"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	2	8	NA	0.00936983874998987	2	1
"Licuala poonsakii"	1	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	1	1	4	NA	0.14476577937603	1	1
"Licuala pseudovalida"	4	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	4	4	16	143676.25466069	0.244886447675526	2	1
"Licuala pumila"	7	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	7	7	28	88481.6697829438	0.0765977314274226	5	1
"Licuala ramsayi"	58	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	26	37	200	177977.710101953	0.0140931985836781	2	1
"Licuala robinsoniana"	5	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	4	4	20	12514.7050050354	0.0901593307033181	3	1
"Licuala rumphii"	1	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	1	1	4	NA	0.0192796885967255	1	1
"Licuala scortechinii"	1	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	1	1	4	NA	0.042510811239481	1	2
"Licuala simplex"	5	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	5	5	20	22686.3695739407	0.0717843536287546	1	1
"Licuala tanycola"	7	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	5	5	24	12108.8269107282	0.0400692871106522	1	1
"Licuala yiiana"	1	"Data Deficient"	"NE"	"Data Deficient"	"NE"	"NOT_ASSESSED"	1	1	4	NA	0.0291038881987333	1	1
"Linospadix albertisianus"	44	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	30	32	148	457223.465041616	0.0435413659169254	7	1
"Linospadix apetiolatus"	37	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	6	76	1042.24307088602	0.0014287571775148	1	1
"Linospadix caninus"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	2	8	NA	0.0678520445071626	2	1
"Linospadix microcaryus"	36	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	23	23	96	18007.3943393069	0.00557856112573063	2	1
"Linospadix minor"	70	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	19	38	256	33043.0590821805	0.00643588989374361	3	1
"Linospadix monostachyos"	804	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	50	178	2020	89627.2164834753	0.0304212522923492	1	2
